市区町村コード,市区町村,寄付額,控除額,寄付－控除額
04341,宮城県 伊具郡 丸森町,94775,2248,92527
04361,宮城県 亘理郡 亘理町,231906,12875,219031
04362,宮城県 亘理郡 山元町,41349,3609,37740
04401,宮城県 宮城郡 松島町,26362,6416,19946
04404,宮城県 宮城郡 七ヶ浜町,14710,10333,4377
04406,宮城県 宮城郡 利府町,220739,39957,180782
04421,宮城県 黒川郡 大和町,36973,21722,15251
04422,宮城県 黒川郡 大郷町,82930,1817,81113
04424,宮城県 黒川郡 大衡村,4542,3039,1503
04444,宮城県 加美郡 色麻町,10760,1465,9295
04445,宮城県 加美郡 加美町,91959,7691,84268
04501,宮城県 遠田郡 涌谷町,32643,4290,28353
04505,宮城県 遠田郡 美里町,9225,12296,-3071
04581,宮城県 牡鹿郡 女川町,14707,3339,11368
04606,宮城県 本吉郡 南三陸町,33723,2459,31264
05201,秋田県 秋田市,435927,259591,176336
05202,秋田県 能代市,239375,22405,216970
05203,秋田県 横手市,402810,39547,363263
05204,秋田県 大館市,907157,33988,873169
05206,秋田県 男鹿市,574988,6379,568609
05207,秋田県 湯沢市,551884,10428,541456
05209,秋田県 鹿角市,198723,7555,191168
05210,秋田県 由利本荘市,228936,17091,211845
05211,秋田県 潟上市,34510,10676,23834
05212,秋田県 大仙市,162061,32723,129338
05213,秋田県 北秋田市,498442,6642,491800
05214,秋田県 にかほ市,638947,9547,629400
05215,秋田県 仙北市,1458743,7058,1451685
05303,秋田県 鹿角郡 小坂町,18875,1441,17434
05327,秋田県 北秋田郡 上小阿仁村,15273,232,15041
05346,秋田県 山本郡 藤里町,2425,186,2239
05348,秋田県 山本郡 三種町,83840,3559,80281
05349,秋田県 山本郡 八峰町,25985,1398,24587
05361,秋田県 南秋田郡 五城目町,27461,2171,25290
05363,秋田県 南秋田郡 八郎潟町,16887,1709,15178
05366,秋田県 南秋田郡 井川町,2920,1541,1379
05368,秋田県 南秋田郡 大潟村,260763,1965,258798
05434,秋田県 仙北郡 美郷町,17428,4255,13173
05463,秋田県 雄勝郡 羽後町,48338,3858,44480
05464,秋田県 雄勝郡 東成瀬村,17165,121,17044
06201,山形県 山形市,3676929,371706,3305223
06202,山形県 米沢市,1407326,58470,1348856
06203,山形県 鶴岡市,1077176,75360,1001816
06204,山形県 酒田市,2957227,76375,2880852
06205,山形県 新庄市,1543451,17412,1526039
06206,山形県 寒河江市,5675843,24124,5651719
06207,山形県 上山市,2033193,12180,2021013
06208,山形県 村山市,1169487,9570,1159917
06209,山形県 長井市,1570156,13301,1556855
06210,山形県 天童市,2521237,48005,2473232
06211,山形県 東根市,1872902,31963,1840939
06212,山形県 尾花沢市,581650,4584,577066
