移動前,移動後,性別,人数
秋田県,岐阜県,女,6
秋田県,静岡県,総数,37
秋田県,静岡県,男,13
秋田県,静岡県,女,24
秋田県,愛知県,総数,39
秋田県,愛知県,男,6
秋田県,愛知県,女,33
秋田県,三重県,総数,27
秋田県,三重県,男,21
秋田県,三重県,女,6
秋田県,滋賀県,総数,8
滋賀県,秋田県,男,1
秋田県,滋賀県,女,9
秋田県,京都府,総数,26
秋田県,京都府,男,6
秋田県,京都府,女,20
秋田県,大阪府,総数,4
大阪府,秋田県,男,4
秋田県,大阪府,女,8
秋田県,兵庫県,総数,8
兵庫県,秋田県,男,3
秋田県,兵庫県,女,11
奈良県,秋田県,総数,13
奈良県,秋田県,男,22
秋田県,奈良県,女,9
秋田県,和歌山県,総数,5
秋田県,和歌山県,男,6
和歌山県,秋田県,女,1
秋田県,鳥取県,総数,6
秋田県,鳥取県,男,1
秋田県,鳥取県,女,5
島根県,秋田県,総数,3
島根県,秋田県,男,4
秋田県,島根県,女,1
秋田県,岡山県,総数,8
秋田県,岡山県,男,7
秋田県,岡山県,女,1
広島県,秋田県,総数,16
広島県,秋田県,男,9
広島県,秋田県,女,7
秋田県,山口県,総数,17
秋田県,山口県,男,7
秋田県,山口県,女,10
秋田県,徳島県,総数,8
秋田県,徳島県,男,7
秋田県,徳島県,女,1
秋田県,香川県,総数,10
秋田県,香川県,男,2
秋田県,香川県,女,8
秋田県,愛媛県,総数,12
秋田県,愛媛県,男,4
秋田県,愛媛県,女,8
高知県,秋田県,総数,6
高知県,秋田県,男,4
高知県,秋田県,女,2
秋田県,福岡県,総数,27
秋田県,福岡県,男,12
秋田県,福岡県,女,15
佐賀県,秋田県,総数,9
佐賀県,秋田県,男,3
佐賀県,秋田県,女,6
秋田県,長崎県,総数,3
秋田県,長崎県,男,4
長崎県,秋田県,女,1
秋田県,熊本県,総数,17
秋田県,熊本県,男,2
秋田県,熊本県,女,15
秋田県,大分県,総数,4
秋田県,大分県,男,2
秋田県,大分県,女,2
宮崎県,秋田県,総数,14
宮崎県,秋田県,男,2
宮崎県,秋田県,女,12
鹿児島県,秋田県,総数,10
鹿児島県,秋田県,男,2
鹿児島県,秋田県,女,8
沖縄県,秋田県,総数,8
沖縄県,秋田県,男,4
沖縄県,秋田県,女,4
山形県,福島県,総数,110
山形県,福島県,男,69
山形県,福島県,女,41
山形県,茨城県,総数,31
山形県,茨城県,男,28
山形県,茨城県,女,3
山形県,栃木県,総数,85
山形県,栃木県,男,37
山形県,栃木県,女,48
山形県,群馬県,総数,25
山形県,群馬県,男,28
群馬県,山形県,女,3
山形県,埼玉県,総数,370
山形県,埼玉県,男,118
山形県,埼玉県,女,252
山形県,千葉県,総数,160
山形県,千葉県,男,53
山形県,千葉県,女,107
山形県,東京都,総数,941
山形県,東京都,男,432
山形県,東京都,女,509
山形県,神奈川県,総数,419
山形県,神奈川県,男,171
山形県,神奈川県,女,248
山形県,新潟県,総数,117
山形県,新潟県,男,24
山形県,新潟県,女,93
富山県,山形県,総数,18
富山県,山形県,男,19
山形県,富山県,女,1
山形県,石川県,総数,24
山形県,石川県,男,13
山形県,石川県,女,11
山形県,福井県,総数,8
山形県,福井県,男,2
山形県,福井県,女,6
山形県,山梨県,総数,15
山形県,山梨県,男,15
山形県,山梨県,女,0
山形県,長野県,総数,4
長野県,山形県,男,8
山形県,長野県,女,12
山形県,岐阜県,総数,13
山形県,岐阜県,男,13
山形県,岐阜県,女,0
山形県,静岡県,総数,24
静岡県,山形県,男,2
山形県,静岡県,女,26
山形県,愛知県,総数,43
山形県,愛知県,男,11
山形県,愛知県,女,32
山形県,三重県,総数,13
山形県,三重県,男,6
山形県,三重県,女,7
山形県,滋賀県,総数,17
山形県,滋賀県,男,13
山形県,滋賀県,女,4
山形県,京都府,総数,37
山形県,京都府,男,12
山形県,京都府,女,25
山形県,大阪府,総数,80
山形県,大阪府,男,52
山形県,大阪府,女,28
兵庫県,山形県,総数,2
兵庫県,山形県,男,15
山形県,兵庫県,女,13
奈良県,山形県,総数,3
山形県,奈良県,男,2
奈良県,山形県,女,5
山形県,和歌山県,総数,2
