移動前,移動後,性別,人数
岡山県,熊本県,女,9
大分県,岡山県,総数,5
岡山県,大分県,男,10
大分県,岡山県,女,15
岡山県,宮崎県,総数,36
岡山県,宮崎県,男,3
岡山県,宮崎県,女,33
岡山県,鹿児島県,総数,30
鹿児島県,岡山県,男,13
岡山県,鹿児島県,女,43
岡山県,沖縄県,総数,29
岡山県,沖縄県,男,26
岡山県,沖縄県,女,3
広島県,山口県,総数,33
広島県,山口県,男,105
山口県,広島県,女,72
広島県,徳島県,総数,2
広島県,徳島県,男,18
徳島県,広島県,女,16
香川県,広島県,総数,59
香川県,広島県,男,75
広島県,香川県,女,16
愛媛県,広島県,総数,151
愛媛県,広島県,男,93
愛媛県,広島県,女,58
高知県,広島県,総数,93
高知県,広島県,男,55
高知県,広島県,女,38
広島県,福岡県,総数,801
広島県,福岡県,男,331
広島県,福岡県,女,470
佐賀県,広島県,総数,56
佐賀県,広島県,男,39
佐賀県,広島県,女,17
広島県,長崎県,総数,55
広島県,長崎県,男,48
広島県,長崎県,女,7
広島県,熊本県,総数,83
広島県,熊本県,男,39
広島県,熊本県,女,44
大分県,広島県,総数,39
大分県,広島県,男,25
大分県,広島県,女,14
広島県,宮崎県,総数,34
広島県,宮崎県,男,22
広島県,宮崎県,女,12
鹿児島県,広島県,総数,5
広島県,鹿児島県,男,8
鹿児島県,広島県,女,13
広島県,沖縄県,総数,92
広島県,沖縄県,男,65
広島県,沖縄県,女,27
山口県,徳島県,総数,23
山口県,徳島県,男,21
山口県,徳島県,女,2
香川県,山口県,総数,26
香川県,山口県,男,31
山口県,香川県,女,5
愛媛県,山口県,総数,137
愛媛県,山口県,男,41
愛媛県,山口県,女,96
高知県,山口県,総数,15
高知県,山口県,男,4
高知県,山口県,女,11
山口県,福岡県,総数,1404
山口県,福岡県,男,606
山口県,福岡県,女,798
佐賀県,山口県,総数,23
佐賀県,山口県,男,14
佐賀県,山口県,女,9
長崎県,山口県,総数,116
長崎県,山口県,男,80
長崎県,山口県,女,36
熊本県,山口県,総数,13
熊本県,山口県,男,21
山口県,熊本県,女,8
大分県,山口県,総数,22
大分県,山口県,男,39
山口県,大分県,女,17
宮崎県,山口県,総数,31
宮崎県,山口県,男,34
山口県,宮崎県,女,3
鹿児島県,山口県,総数,27
山口県,鹿児島県,男,22
鹿児島県,山口県,女,49
山口県,沖縄県,総数,33
山口県,沖縄県,男,14
山口県,沖縄県,女,19
徳島県,香川県,総数,191
徳島県,香川県,男,42
徳島県,香川県,女,149
愛媛県,徳島県,総数,47
愛媛県,徳島県,男,25
愛媛県,徳島県,女,22
高知県,徳島県,総数,17
高知県,徳島県,男,14
高知県,徳島県,女,3
徳島県,福岡県,総数,42
徳島県,福岡県,男,26
徳島県,福岡県,女,16
徳島県,佐賀県,総数,10
徳島県,佐賀県,男,0
徳島県,佐賀県,女,10
長崎県,徳島県,総数,2
長崎県,徳島県,男,3
徳島県,長崎県,女,1
徳島県,熊本県,総数,11
徳島県,熊本県,男,7
徳島県,熊本県,女,4
大分県,徳島県,総数,6
大分県,徳島県,男,1
大分県,徳島県,女,5
宮崎県,徳島県,総数,4
徳島県,宮崎県,男,0
宮崎県,徳島県,女,4
鹿児島県,徳島県,総数,6
徳島県,鹿児島県,男,1
鹿児島県,徳島県,女,7
沖縄県,徳島県,総数,1
徳島県,沖縄県,男,2
沖縄県,徳島県,女,3
愛媛県,香川県,総数,230
愛媛県,香川県,男,86
愛媛県,香川県,女,144
高知県,香川県,総数,75
高知県,香川県,男,28
高知県,香川県,女,47
香川県,福岡県,総数,153
香川県,福岡県,男,68
香川県,福岡県,女,85
佐賀県,香川県,総数,9
佐賀県,香川県,男,5
佐賀県,香川県,女,4
香川県,長崎県,総数,17
香川県,長崎県,男,1
香川県,長崎県,女,16
熊本県,香川県,総数,11
熊本県,香川県,男,2
熊本県,香川県,女,9
香川県,大分県,総数,23
香川県,大分県,男,15
香川県,大分県,女,8
香川県,宮崎県,総数,12
香川県,宮崎県,男,7
香川県,宮崎県,女,5
香川県,鹿児島県,総数,32
香川県,鹿児島県,男,27
香川県,鹿児島県,女,5
沖縄県,香川県,総数,19
沖縄県,香川県,男,16
沖縄県,香川県,女,3
愛媛県,高知県,総数,44
愛媛県,高知県,男,65
高知県,愛媛県,女,21
愛媛県,福岡県,総数,260
愛媛県,福岡県,男,138
愛媛県,福岡県,女,122
愛媛県,佐賀県,総数,10
佐賀県,愛媛県,男,1
愛媛県,佐賀県,女,11
長崎県,愛媛県,総数,22
長崎県,愛媛県,男,22
愛媛県,長崎県,女,0
愛媛県,熊本県,総数,54
愛媛県,熊本県,男,15
愛媛県,熊本県,女,39
愛媛県,大分県,総数,54
愛媛県,大分県,男,36
愛媛県,大分県,女,18
愛媛県,宮崎県,総数,11
愛媛県,宮崎県,男,8
愛媛県,宮崎県,女,3
愛媛県,鹿児島県,総数,28
愛媛県,鹿児島県,男,20
愛媛県,鹿児島県,女,8
愛媛県,沖縄県,総数,24
愛媛県,沖縄県,男,11
愛媛県,沖縄県,女,13
高知県,福岡県,総数,118
高知県,福岡県,男,46
高知県,福岡県,女,72
佐賀県,高知県,総数,2
高知県,佐賀県,男,0
佐賀県,高知県,女,2
高知県,長崎県,総数,14
高知県,長崎県,男,15
長崎県,高知県,女,1
高知県,熊本県,総数,6
高知県,熊本県,男,8
熊本県,高知県,女,2
高知県,大分県,総数,16
高知県,大分県,男,6
高知県,大分県,女,10
高知県,宮崎県,総数,3
高知県,宮崎県,男,7
宮崎県,高知県,女,4
高知県,鹿児島県,総数,31
高知県,鹿児島県,男,18
高知県,鹿児島県,女,13
沖縄県,高知県,総数,2
沖縄県,高知県,男,8
高知県,沖縄県,女,6
佐賀県,福岡県,総数,540
佐賀県,福岡県,男,156
佐賀県,福岡県,女,384
長崎県,福岡県,総数,2896
長崎県,福岡県,男,1174
長崎県,福岡県,女,1722
熊本県,福岡県,総数,177
福岡県,熊本県,男,292
熊本県,福岡県,女,469
大分県,福岡県,総数,916
大分県,福岡県,男,207
大分県,福岡県,女,709
宮崎県,福岡県,総数,539
宮崎県,福岡県,男,201
宮崎県,福岡県,女,338
鹿児島県,福岡県,総数,1070
鹿児島県,福岡県,男,476
鹿児島県,福岡県,女,594
沖縄県,福岡県,総数,767
沖縄県,福岡県,男,368
沖縄県,福岡県,女,399
長崎県,佐賀県,総数,342
長崎県,佐賀県,男,210
長崎県,佐賀県,女,132
佐賀県,熊本県,総数,5
熊本県,佐賀県,男,16
佐賀県,熊本県,女,21
大分県,佐賀県,総数,58
大分県,佐賀県,男,27
大分県,佐賀県,女,31
宮崎県,佐賀県,総数,34
宮崎県,佐賀県,男,26
宮崎県,佐賀県,女,8
佐賀県,鹿児島県,総数,39
佐賀県,鹿児島県,男,59
鹿児島県,佐賀県,女,20
沖縄県,佐賀県,総数,83
沖縄県,佐賀県,男,22
沖縄県,佐賀県,女,61
長崎県,熊本県,総数,311
長崎県,熊本県,男,136
長崎県,熊本県,女,175
長崎県,大分県,総数,27
長崎県,大分県,男,49
大分県,長崎県,女,22
長崎県,宮崎県,総数,2
宮崎県,長崎県,男,13
長崎県,宮崎県,女,15
長崎県,鹿児島県,総数,21
長崎県,鹿児島県,男,4
長崎県,鹿児島県,女,17
沖縄県,長崎県,総数,164
沖縄県,長崎県,男,94
沖縄県,長崎県,女,70
大分県,熊本県,総数,158
大分県,熊本県,男,120
大分県,熊本県,女,38
宮崎県,熊本県,総数,296
宮崎県,熊本県,男,125
宮崎県,熊本県,女,171
鹿児島県,熊本県,総数,107
鹿児島県,熊本県,男,28
鹿児島県,熊本県,女,79
沖縄県,熊本県,総数,44
沖縄県,熊本県,男,15
沖縄県,熊本県,女,29
宮崎県,大分県,総数,100
宮崎県,大分県,男,46
宮崎県,大分県,女,54
鹿児島県,大分県,総数,3
鹿児島県,大分県,男,3
大分県,鹿児島県,女,0
沖縄県,大分県,総数,58
沖縄県,大分県,男,41
沖縄県,大分県,女,17
鹿児島県,宮崎県,総数,127
鹿児島県,宮崎県,男,83
鹿児島県,宮崎県,女,44
沖縄県,宮崎県,総数,108
沖縄県,宮崎県,男,52
沖縄県,宮崎県,女,56
沖縄県,鹿児島県,総数,80
沖縄県,鹿児島県,男,63
鹿児島県,沖縄県,女,-17
